key,start,end,sentence,anger,confident,disgust,dominant,eloquent,entertaining,fear,gender,happiness,humorous,is_opinion,narcissist,nervous,passionate,persuasive,relaxed,reserved,sadness,sarcastic,surprise,sentiment,secret_word1,secret_word2,secret_word3
4l2V1Gain_0_0,10.039,26.539,una empresa es socialmente responsable cuando cuando dispone de una política efectiva y transversal completa y convencida en este sentido que abarca todos los ámbitos de la responsabilidad social corporativa en la organización tanto internos como externos en aspectos sociales laborales de respeto a los derechos humanos y medioambientales,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,{},{},{}
4l2V1Gain_0_1,29.52,36.81,las principales ventajas de unas políticas adecuadas de rsc es que tenemos mejores organizaciones y empresas por diferentes razones,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,{},{},{}
4l2V1Gain_0_2,37.37,53.579,la primera es que estarán mejor gestionadas ya que los trabajadores y los directivos tendrán una más amplia y mejor visión de las diferentes actuaciones incorporando más habilidades y de este modo podrán dar respuesta a planteamientos que no sólo tengan una visión económica o de cuenta de resultados para la empresa y en consecuencia tomarán mejores decisiones,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Habilidades,Planteamientos,Decisiones
4l2V1Gain_0_3,54.159,64.339,por otro lado la compañía identificará y gestionará de forma más adecuada las necesidades de sus trabajadores y otros grupos de interés que redundará en una mejor comunicación y actitud positiva hacia la empresa,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,{},{},{}
4l2V1Gain_0_4,64.74,77.34,es decir se la percibirá más cercana y se tendrá un mayor compromiso y en consecuencia será más competitiva la rsc no puede medirse en términos de rentabilidad ya que es un compromiso ante uno mismo y ante la sociedad,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.6666666666666666,{},{},{}
4l2V1Gain_0_5,77.65,88.5,no obstante las políticas convencidas de rsc siempre irán asociadas a una mejor competitividad e imagen ante la sociedad lo que redundará en un mayor beneficio para la empresa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,Sentimientos,Emociones,Atributos
4l2V1Gain_0_6,91.799,95.579,indudablemente la sociedad ha evolucionado tiene más información y es más exigente con estos temas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3333333333333333,{},{},{}
4l2V1Gain_0_7,96.129,104.889,cualquier situación que suponga un incumplimiento de estos aspectos corre inmediatamente por internet y las redes sociales implicará probablemente una campaña en contra de esta situación,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6666666666666666,{},{},{}
4l2V1Gain_0_8,105.539,115.87,no obstante la responsabilidad final también recae sobre el consumidor ya que es este mediante su actitud quien puede y debe implicarse para corregir estas situaciones siendo coherente con sus decisiones de consumo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,{},{},{}
4l2V1Gain_0_9,116.239,131.747368,en este sentido se ha de discernir entre las empresas que realmente trabajan y actúan sobre sus posibles problemas y las que no tienen una política coherente y actúan sin convencimiento o por una cuestión de apariencia cuya actitud tendrá un efecto de retorno e impacto negativo sobre la empresa,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6666666666666666,{},{},{}
85rIzub5qgc_0,6.0,14.59,para contratar un seguro de vida en aegon y de esta manera darle un precio más competitivo le pedimos que conteste a una serie de preguntas relacionadas con su estado de salud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,Sentimientos,Emociones,Atributos
85rIzub5qgc_1,15.0,17.913043,estas preguntas varían en función del capital que quieres asegurar,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.3333333333333333,{},{},{}
MpMIuYsgO2g_0,3.32,6.36,las vecinas y vecinos de espartales están de enhorabuena,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.0,vecinos,estan,enhorabuena
MpMIuYsgO2g_1,6.64,8.99,por fin hay una biblioteca pública en el barrio,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.3333333333333335,Biblioteca,Municipal,Barrio
MpMIuYsgO2g_2,9.98,18.96,hola soy laura martín presidenta del distrito cuatro y estoy muy contenta de poder compartir con vosotras y vosotros que al fin nuestro distrito tiene una biblioteca municipal,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2.3333333333333335,Presidenta,Distrito,Biblioteca Municipal
MpMIuYsgO2g_3,20.019,33.9,era una reivindicación histórica de las vecinas y vecinos que llevaban años pidiendo un espacio donde los chicos y chicas puedan venir a estudiar donde haya espacios de lectura y en definitiva donde se pueda acceder a todo el conocimiento que alberga una biblioteca,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,ALEGRE,CONTENTA,CONFIADA
MpMIuYsgO2g_4,34.66,54.37,además este espacio tiene ordenadores nuevos algo fundamental hoy en día porque garantizan que las personas sin recursos pueden acceder a todos los servicios que ofrece la tecnología como por ejemplo utilizar la nueva sede electrónica del ayuntamiento que hemos impulsado desde somos alcalá y realizar en ella todos los trámites con el consistorio,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0,Ordenadores,Sede Electrónica,Trámites
MpMIuYsgO2g_5,54.39,62.29,esta nueva biblioteca está en el centro cultural galatea que tengo aquí detrás y abrirá de lunes a viernes de 5 a 9 de la tarde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.6666666666666667,biblioteca,Galatea,abrirá
MpMIuYsgO2g_6,62.309,65.59737,esperamos que la disfrutéis mucho y le saquéis todo el partido posible,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,{},{},{}
qRe3EZwreNM_0,5.3,10.36,el dicho popular de que en tarro pequeño buena confitura es veraz en muchos casos,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.6666666666666667,{},{},{}
qRe3EZwreNM_1,10.78,13.75,pero tiene inconvenientes si hablamos de dimensión empresarial,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.3333333333333333,{},{},{}
qRe3EZwreNM_2,14.265,19.94,por ejemplo la mejora de la competitividad exige mucha innovación e internacionalización,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.6666666666666666,Águila,Arena,Robot
qRe3EZwreNM_3,20.51,22.98,y esto lo hacen mejor las empresas medianas y grandes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,Mejor,Empresas,Medianas y Grandes
qRe3EZwreNM_4,23.65,34.12,es lo que conocemos como el cículo virtuoso de la competitividad formado por la dimensión la innovación y la internacionalización donde los 3 ejes se retroalimentan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,{},{},{}
qRe3EZwreNM_5,35.26,40.18,aquí a menudo se repite el mantra de que somos un país de pequeñas empresas,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,{},{},{}
qRe3EZwreNM_6,40.84,51.14,según la unión europea pequeña empresa es aquella que tiene menos de 50 empleados aquí el de las empresas son pequeñas,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6666666666666666,{},{},{}
qRe3EZwreNM_7,51.87,55.25,pero en otros países de nuestro entorno el peso de la pequeña empresa es aún mayor,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,{},{},{}
qRe3EZwreNM_8,55.87,59.33,como francia con o italia con,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,francia,"99,2%",italia
qRe3EZwreNM_9,61.28,64.86,estamos cerca de francia e italia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,{},{},{}
qRe3EZwreNM_10,65.37,70.16,pero si nos alejamos encontramos países con menos empresas pequeñas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,{},{},{}
qRe3EZwreNM_11,70.65,71.8,como el reino unido con,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.3333333333333333,es,caso,Reino Unido
qRe3EZwreNM_12,73.85,75.02,o alemania 97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,Alegre,Convencido,Explicativo
qRe3EZwreNM_13,77.1,85.75,si queremos acercarnos a la realidad de estos países donde hay más empresas medianas y grandes debemos apostar por lo que favorece la dimensión,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.6666666666666666,Águila,Arena,Robot
qRe3EZwreNM_14,86.68,95.2,podemos apuntar en este sentido recomendaciones como un marco legal fiscal mercantil laboral que quite trabas a los que quieren crecer,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,{},{},{}
